{'Image': 0, 'IOU': 0.810063519740939, 'DICE': 0.8950664006055185, 'MSE': 0.009116396960802482, 'Time': 4.199054002761841}
{'Image': 1, 'IOU': 0.7564058763238811, 'DICE': 0.8613110289826882, 'MSE': 0.004262289202001422, 'Time': 3.259822368621826}
{'Image': 2, 'IOU': 0.8873668188736682, 'DICE': 0.9403225806451613, 'MSE': 0.0039813248366521005, 'Time': 3.3705649375915527}
{'Image': 3, 'IOU': 0.8815244407622204, 'DICE': 0.9370321444297667, 'MSE': 0.004274245132441819, 'Time': 2.591667413711548}
{'Image': 4, 'IOU': 0.825014679976512, 'DICE': 0.9041184041184042, 'MSE': 0.007125734542476432, 'Time': 2.483255386352539}
{'Image': 5, 'IOU': 0.8021179073810653, 'DICE': 0.8901947026837397, 'MSE': 0.007484412455688333, 'Time': 3.2007014751434326}
{'Image': 6, 'IOU': 0.8717386974706234, 'DICE': 0.9314747818684826, 'MSE': 0.007699619203615473, 'Time': 3.743468999862671}
{'Image': 7, 'IOU': 0.7710707978808797, 'DICE': 0.8707396664249456, 'MSE': 0.008524578404002845, 'Time': 4.471539258956909}
{'Image': 8, 'IOU': 0.7887221331779105, 'DICE': 0.8818833496252851, 'MSE': 0.008668049569287605, 'Time': 5.8101396560668945}
{'Image': 9, 'IOU': 0.7473910882888852, 'DICE': 0.8554365342686511, 'MSE': 0.009116396960802482, 'Time': 5.321847677230835}
{'Image': 10, 'IOU': 0.852464385131816, 'DICE': 0.9203571112878989, 'MSE': 0.005386146663398712, 'Time': 4.5109803676605225}
{'Image': 11, 'IOU': 0.8531143476913542, 'DICE': 0.9207357859531773, 'MSE': 0.005667111028748035, 'Time': 3.9215688705444336}
