{'FCM_Image': 0, 'IOU': 0.793233082706767, 'DICE': 0.8846960167714885, 'Time': 1.4334497451782227}
{'K_means_Image': 0, 'IOU': 0.8407445708376422, 'DICE': 0.9134831460674158, 'Time': 0.04091525077819824}
{'FCM_Image': 1, 'IOU': 0.7564749411368987, 'DICE': 0.8613558023745691, 'Time': 1.8987705707550049}
{'K_means_Image': 1, 'IOU': 0.7725978647686833, 'DICE': 0.8717125075286087, 'Time': 0.03291201591491699}
{'FCM_Image': 2, 'IOU': 0.8785831960461286, 'DICE': 0.9353678856441288, 'Time': 1.2432312965393066}
{'K_means_Image': 2, 'IOU': 0.803816657749242, 'DICE': 0.8912398655329247, 'Time': 0.043905019760131836}
{'FCM_Image': 3, 'IOU': 0.8753904323524576, 'DICE': 0.9335553997194951, 'Time': 1.4941763877868652}
{'K_means_Image': 3, 'IOU': 0.8833898305084745, 'DICE': 0.9380849532037437, 'Time': 0.04390740394592285}
{'FCM_Image': 4, 'IOU': 0.8159038238702202, 'DICE': 0.8986200845497327, 'Time': 1.4077539443969727}
{'K_means_Image': 4, 'IOU': 0.6465358161382319, 'DICE': 0.7853285787060621, 'Time': 0.059865474700927734}
{'FCM_Image': 5, 'IOU': 0.7907911001236094, 'DICE': 0.8831751509922346, 'Time': 1.3416087627410889}
{'K_means_Image': 5, 'IOU': 0.7945988880063543, 'DICE': 0.8855448349119235, 'Time': 0.02593088150024414}
{'FCM_Image': 6, 'IOU': 0.8631465517241379, 'DICE': 0.9265471370734528, 'Time': 1.0801832675933838}
{'K_means_Image': 6, 'IOU': 0.1282795578876856, 'DICE': 0.2273896695032654, 'Time': 0.07176494598388672}
{'FCM_Image': 7, 'IOU': 0.7736767708496938, 'DICE': 0.872398831134331, 'Time': 1.5735976696014404}
{'K_means_Image': 7, 'IOU': 0.8009216589861751, 'DICE': 0.8894575230296827, 'Time': 0.03388500213623047}
{'FCM_Image': 8, 'IOU': 0.8088090896338898, 'DICE': 0.8943001163241566, 'Time': 1.7332866191864014}
{'K_means_Image': 8, 'IOU': 0.8192098692906448, 'DICE': 0.9006216194397352, 'Time': 0.04388236999511719}
{'FCM_Image': 9, 'IOU': 0.7641524736415247, 'DICE': 0.8663111438028687, 'Time': 2.711001396179199}
{'K_means_Image': 9, 'IOU': 0.36510041682455474, 'DICE': 0.5349063150589868, 'Time': 0.07479166984558105}
{'FCM_Image': 10, 'IOU': 0.8306209511771212, 'DICE': 0.9074745382358018, 'Time': 1.2472174167633057}
{'K_means_Image': 10, 'IOU': 0.8499110464175966, 'DICE': 0.9188669347788074, 'Time': 0.06283235549926758}
{'FCM_Image': 11, 'IOU': 0.8675312644742936, 'DICE': 0.9290674603174603, 'Time': 1.7319600582122803}
{'K_means_Image': 11, 'IOU': 0.34345287739783154, 'DICE': 0.5112987335485473, 'Time': 0.029908418655395508}
FCM: Moy IOU=0.8181928064780619Moy DICE=0.8994057972449765Moy Time=1.5746864279111226
Kmeans: Moy IOU=0.6707132545677595Moy DICE=0.772327890109142Moy Time=0.047041734059651695
